season,week,window_start,window_end,source_url
16,6,2013-04-02,2013-04-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_16)
16,7,2013-04-08,2013-04-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_16)
16,8,2013-04-09,2013-04-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_16)
16,9,2013-04-15,2013-04-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_16)
16,10,2013-04-16,2013-04-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_16)
17,1,2013-09-16,2013-09-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,2,2013-09-23,2013-09-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,3,2013-09-30,2013-10-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,4,2013-10-07,2013-10-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,5,2013-10-14,2013-10-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,6,2013-10-21,2013-10-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,7,2013-10-28,2013-11-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,8,2013-11-04,2013-11-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,9,2013-11-11,2013-11-17,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,10,2013-11-18,2013-11-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
17,11,2013-11-25,2013-11-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_17)
18,1,2014-03-17,2014-03-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,2,2014-03-24,2014-03-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,3,2014-03-31,2014-04-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,4,2014-04-07,2014-04-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,5,2014-04-14,2014-04-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,6,2014-04-21,2014-04-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,7,2014-04-28,2014-05-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,8,2014-05-05,2014-05-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,9,2014-05-12,2014-05-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
18,10,2014-05-19,2014-05-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_18)
20,1,2015-03-16,2015-03-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,2,2015-03-23,2015-03-29,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,3,2015-03-30,2015-04-05,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,4,2015-04-06,2015-04-12,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,5,2015-04-13,2015-04-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,6,2015-04-20,2015-04-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,7,2015-04-27,2015-04-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,8,2015-04-28,2015-05-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,9,2015-05-04,2015-05-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
20,10,2015-05-05,2015-05-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_20)
21,1,2015-09-14,2015-09-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,2,2015-09-15,2015-09-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,3,2015-09-21,2015-09-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,4,2015-09-22,2015-09-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,5,2015-09-28,2015-10-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,6,2015-10-05,2015-10-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,7,2015-10-12,2015-10-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,8,2015-10-19,2015-10-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,9,2015-10-26,2015-11-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,10,2015-11-02,2015-11-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
21,11,2015-11-09,2015-11-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_21)
22,1,2016-03-21,2016-03-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,2,2016-03-28,2016-04-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,3,2016-04-04,2016-04-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,4,2016-04-11,2016-04-17,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,5,2016-04-18,2016-04-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,6,2016-04-25,2016-05-01,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,7,2016-05-02,2016-05-08,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,8,2016-05-09,2016-05-15,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,9,2016-05-16,2016-05-22,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
22,10,2016-05-23,2016-05-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_22)
23,1,2016-09-12,2016-09-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,2,2016-09-19,2016-09-19,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,3,2016-09-20,2016-09-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,4,2016-09-26,2016-09-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,5,2016-09-27,2016-10-02,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,6,2016-10-03,2016-10-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,7,2016-10-04,2016-10-09,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,8,2016-10-10,2016-10-16,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,9,2016-10-17,2016-10-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,10,2016-10-24,2016-10-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
23,11,2016-10-31,2016-11-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_23)
24,1,2017-03-20,2017-03-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,2,2017-03-27,2017-04-02,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,3,2017-04-03,2017-04-09,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,4,2017-04-10,2017-04-16,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,5,2017-04-17,2017-04-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
24,6,2017-04-24,2017-04-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_24)
