season,week,celebrity_name,window_start,window_end,gdelt_mentions_week,gdelt_query,status
2,8,Jerry Rice,2006-02-23,2006-03-01,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Kenny Mayne,2006-01-05,2006-01-11,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Kenny Mayne,2006-01-12,2006-01-18,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Kenny Mayne,2006-01-19,2006-01-25,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Kenny Mayne,2006-01-26,2006-02-01,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Kenny Mayne,2006-02-02,2006-02-08,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Kenny Mayne,2006-02-09,2006-02-15,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Kenny Mayne,2006-02-16,2006-02-22,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Kenny Mayne,2006-02-23,2006-03-01,,"""Kenny Mayne"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Lisa Rinna,2006-01-05,2006-01-11,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Lisa Rinna,2006-01-12,2006-01-18,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Lisa Rinna,2006-01-19,2006-01-25,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Lisa Rinna,2006-01-26,2006-02-01,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Lisa Rinna,2006-02-02,2006-02-08,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Lisa Rinna,2006-02-09,2006-02-15,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Lisa Rinna,2006-02-16,2006-02-22,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Lisa Rinna,2006-02-23,2006-03-01,,"""Lisa Rinna"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Master P,2006-01-05,2006-01-11,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Master P,2006-01-12,2006-01-18,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Master P,2006-01-19,2006-01-25,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Master P,2006-01-26,2006-02-01,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Master P,2006-02-02,2006-02-08,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Master P,2006-02-09,2006-02-15,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Master P,2006-02-16,2006-02-22,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Master P,2006-02-23,2006-03-01,,"""Master P"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Stacy Keibler,2006-01-05,2006-01-11,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Stacy Keibler,2006-01-12,2006-01-18,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Stacy Keibler,2006-01-19,2006-01-25,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Stacy Keibler,2006-01-26,2006-02-01,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Stacy Keibler,2006-02-02,2006-02-08,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Stacy Keibler,2006-02-09,2006-02-15,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Stacy Keibler,2006-02-16,2006-02-22,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Stacy Keibler,2006-02-23,2006-03-01,,"""Stacy Keibler"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Tatum O'Neal,2006-01-05,2006-01-11,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Tatum O'Neal,2006-01-12,2006-01-18,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Tatum O'Neal,2006-01-19,2006-01-25,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Tatum O'Neal,2006-01-26,2006-02-01,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Tatum O'Neal,2006-02-02,2006-02-08,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Tatum O'Neal,2006-02-09,2006-02-15,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Tatum O'Neal,2006-02-16,2006-02-22,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Tatum O'Neal,2006-02-23,2006-03-01,,"""Tatum O'Neal"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Tia Carrere,2006-01-05,2006-01-11,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Tia Carrere,2006-01-12,2006-01-18,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Tia Carrere,2006-01-19,2006-01-25,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Tia Carrere,2006-01-26,2006-02-01,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Tia Carrere,2006-02-02,2006-02-08,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Tia Carrere,2006-02-09,2006-02-15,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Tia Carrere,2006-02-16,2006-02-22,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Tia Carrere,2006-02-23,2006-03-01,,"""Tia Carrere"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
