season,week,celebrity,trend,timeframe,kw
2,7,Kenny Mayne,,2006-02-16 2006-02-22,Kenny Mayne Dancing with the Stars
2,7,Lisa Rinna,28.142857142857142,2006-02-16 2006-02-22,Lisa Rinna Dancing with the Stars
2,7,Master P,,2006-02-16 2006-02-22,Master P Dancing with the Stars
2,7,Stacy Keibler,35.0,2006-02-16 2006-02-22,Stacy Keibler Dancing with the Stars
2,7,Tatum O'Neal,,2006-02-16 2006-02-22,Tatum O'Neal Dancing with the Stars
2,7,Tia Carrere,,2006-02-16 2006-02-22,Tia Carrere Dancing with the Stars
2,8,Drew Lachey,29.714285714285715,2006-02-23 2006-03-01,Drew Lachey Dancing with the Stars
2,8,George Hamilton,,2006-02-23 2006-03-01,George Hamilton Dancing with the Stars
2,8,Giselle Fernandez,,2006-02-23 2006-03-01,Giselle Fernandez Dancing with the Stars
2,8,Jerry Rice,14.285714285714286,2006-02-23 2006-03-01,Jerry Rice Dancing with the Stars
2,8,Kenny Mayne,,2006-02-23 2006-03-01,Kenny Mayne Dancing with the Stars
2,8,Lisa Rinna,29.857142857142858,2006-02-23 2006-03-01,Lisa Rinna Dancing with the Stars
2,8,Master P,14.285714285714286,2006-02-23 2006-03-01,Master P Dancing with the Stars
2,8,Stacy Keibler,35.0,2006-02-23 2006-03-01,Stacy Keibler Dancing with the Stars
2,8,Tatum O'Neal,,2006-02-23 2006-03-01,Tatum O'Neal Dancing with the Stars
2,8,Tia Carrere,,2006-02-23 2006-03-01,Tia Carrere Dancing with the Stars
3,1,Emmitt Smith,14.285714285714286,2006-09-12 2006-09-18,Emmitt Smith Dancing with the Stars
3,1,Harry Hamlin,14.285714285714286,2006-09-12 2006-09-18,Harry Hamlin Dancing with the Stars
3,1,Jerry Springer,14.285714285714286,2006-09-12 2006-09-18,Jerry Springer Dancing with the Stars
3,1,Joey Lawrence,20.0,2006-09-12 2006-09-18,Joey Lawrence Dancing with the Stars
3,1,Mario Lopez,21.285714285714285,2006-09-12 2006-09-18,Mario Lopez Dancing with the Stars
3,1,Monique Coleman,,2006-09-12 2006-09-18,Monique Coleman Dancing with the Stars
3,1,Sara Evans,,2006-09-12 2006-09-18,Sara Evans Dancing with the Stars
3,1,Shanna Moakler,14.285714285714286,2006-09-12 2006-09-18,Shanna Moakler Dancing with the Stars
3,1,Tucker Carlson,26.571428571428573,2006-09-12 2006-09-18,Tucker Carlson Dancing with the Stars
3,1,Vivica A. Fox,,2006-09-12 2006-09-18,Vivica A. Fox Dancing with the Stars
3,1,Willa Ford,23.857142857142858,2006-09-12 2006-09-18,Willa Ford Dancing with the Stars
3,2,Emmitt Smith,,2006-09-19 2006-09-25,Emmitt Smith Dancing with the Stars
3,2,Harry Hamlin,,2006-09-19 2006-09-25,Harry Hamlin Dancing with the Stars
3,2,Jerry Springer,,2006-09-19 2006-09-25,Jerry Springer Dancing with the Stars
