celebrity,wiki_title,date,views,season
DeMarcus Ware,DeMarcus Ware,20181108,1472,27
DeMarcus Ware,DeMarcus Ware,20181109,1223,27
DeMarcus Ware,DeMarcus Ware,20181110,1024,27
DeMarcus Ware,DeMarcus Ware,20181111,927,27
DeMarcus Ware,DeMarcus Ware,20181112,1251,27
DeMarcus Ware,DeMarcus Ware,20181113,1341,27
DeMarcus Ware,DeMarcus Ware,20181114,751,27
DeMarcus Ware,DeMarcus Ware,20181115,666,27
DeMarcus Ware,DeMarcus Ware,20181116,605,27
DeMarcus Ware,DeMarcus Ware,20181117,638,27
DeMarcus Ware,DeMarcus Ware,20181118,912,27
DeMarcus Ware,DeMarcus Ware,20181119,880,27
DeMarcus Ware,DeMarcus Ware,20181120,2238,27
DeMarcus Ware,DeMarcus Ware,20181121,863,27
DeMarcus Ware,DeMarcus Ware,20181122,972,27
DeMarcus Ware,DeMarcus Ware,20181123,1042,27
DeMarcus Ware,DeMarcus Ware,20181124,576,27
DeMarcus Ware,DeMarcus Ware,20181125,1067,27
Evanna Lynch,Evanna Lynch,20180924,3277,27
Evanna Lynch,Evanna Lynch,20180925,26362,27
Evanna Lynch,Evanna Lynch,20180926,11411,27
Evanna Lynch,Evanna Lynch,20180927,3776,27
Evanna Lynch,Evanna Lynch,20180928,2582,27
Evanna Lynch,Evanna Lynch,20180929,3192,27
Evanna Lynch,Evanna Lynch,20180930,3768,27
Evanna Lynch,Evanna Lynch,20181001,3073,27
Evanna Lynch,Evanna Lynch,20181002,13994,27
Evanna Lynch,Evanna Lynch,20181003,13487,27
Evanna Lynch,Evanna Lynch,20181004,3879,27
Evanna Lynch,Evanna Lynch,20181005,2693,27
Evanna Lynch,Evanna Lynch,20181006,7312,27
Evanna Lynch,Evanna Lynch,20181007,3654,27
Evanna Lynch,Evanna Lynch,20181008,3247,27
Evanna Lynch,Evanna Lynch,20181009,18728,27
Evanna Lynch,Evanna Lynch,20181010,4932,27
Evanna Lynch,Evanna Lynch,20181011,3349,27
Evanna Lynch,Evanna Lynch,20181012,2412,27
Evanna Lynch,Evanna Lynch,20181013,4446,27
Evanna Lynch,Evanna Lynch,20181014,3161,27
Evanna Lynch,Evanna Lynch,20181015,2754,27
Evanna Lynch,Evanna Lynch,20181016,9818,27
Evanna Lynch,Evanna Lynch,20181017,3392,27
Evanna Lynch,Evanna Lynch,20181018,2524,27
Evanna Lynch,Evanna Lynch,20181019,2353,27
Evanna Lynch,Evanna Lynch,20181020,3925,27
Evanna Lynch,Evanna Lynch,20181021,3152,27
Evanna Lynch,Evanna Lynch,20181022,3262,27
Evanna Lynch,Evanna Lynch,20181023,9321,27
Evanna Lynch,Evanna Lynch,20181024,3038,27
Evanna Lynch,Evanna Lynch,20181025,2213,27
Evanna Lynch,Evanna Lynch,20181026,2117,27
Evanna Lynch,Evanna Lynch,20181027,4485,27
Evanna Lynch,Evanna Lynch,20181028,2676,27
Evanna Lynch,Evanna Lynch,20181029,3600,27
Evanna Lynch,Evanna Lynch,20181030,9428,27
Evanna Lynch,Evanna Lynch,20181031,2649,27
Evanna Lynch,Evanna Lynch,20181101,2124,27
Evanna Lynch,Evanna Lynch,20181102,2511,27
Evanna Lynch,Evanna Lynch,20181103,2740,27
Evanna Lynch,Evanna Lynch,20181104,3164,27
Evanna Lynch,Evanna Lynch,20181105,2416,27
Evanna Lynch,Evanna Lynch,20181106,13037,27
Evanna Lynch,Evanna Lynch,20181107,3499,27
Evanna Lynch,Evanna Lynch,20181108,2698,27
Evanna Lynch,Evanna Lynch,20181109,2554,27
Evanna Lynch,Evanna Lynch,20181110,2832,27
Evanna Lynch,Evanna Lynch,20181111,5060,27
Evanna Lynch,Evanna Lynch,20181112,4556,27
Evanna Lynch,Evanna Lynch,20181113,22292,27
Evanna Lynch,Evanna Lynch,20181114,5115,27
Evanna Lynch,Evanna Lynch,20181115,3369,27
Evanna Lynch,Evanna Lynch,20181116,3270,27
Evanna Lynch,Evanna Lynch,20181117,4718,27
Evanna Lynch,Evanna Lynch,20181118,4624,27
Evanna Lynch,Evanna Lynch,20181119,9967,27
Evanna Lynch,Evanna Lynch,20181120,36403,27
Evanna Lynch,Evanna Lynch,20181121,7962,27
Evanna Lynch,Evanna Lynch,20181122,6165,27
Evanna Lynch,Evanna Lynch,20181123,4550,27
Evanna Lynch,Evanna Lynch,20181124,3817,27
Evanna Lynch,Evanna Lynch,20181125,4350,27
Joe Amabile,Joe Amabile,20180924,832,27
Joe Amabile,Joe Amabile,20180925,4569,27
Joe Amabile,Joe Amabile,20180926,2222,27
Joe Amabile,Joe Amabile,20180927,568,27
Joe Amabile,Joe Amabile,20180928,381,27
Joe Amabile,Joe Amabile,20180929,373,27
Joe Amabile,Joe Amabile,20180930,370,27
Joe Amabile,Joe Amabile,20181001,368,27
Joe Amabile,Joe Amabile,20181002,1608,27
Joe Amabile,Joe Amabile,20181003,1495,27
Joe Amabile,Joe Amabile,20181004,405,27
Joe Amabile,Joe Amabile,20181005,258,27
Joe Amabile,Joe Amabile,20181006,230,27
Joe Amabile,Joe Amabile,20181007,259,27
Joe Amabile,Joe Amabile,20181008,360,27
Joe Amabile,Joe Amabile,20181009,1789,27
Joe Amabile,Joe Amabile,20181010,450,27
Joe Amabile,Joe Amabile,20181011,244,27
Joe Amabile,Joe Amabile,20181012,205,27
Joe Amabile,Joe Amabile,20181013,191,27
Joe Amabile,Joe Amabile,20181014,180,27
Joe Amabile,Joe Amabile,20181015,316,27
Joe Amabile,Joe Amabile,20181016,1544,27
Joe Amabile,Joe Amabile,20181017,482,27
Joe Amabile,Joe Amabile,20181018,251,27
Joe Amabile,Joe Amabile,20181019,229,27
Joe Amabile,Joe Amabile,20181020,250,27
Joe Amabile,Joe Amabile,20181021,266,27
Joe Amabile,Joe Amabile,20181022,309,27
Joe Amabile,Joe Amabile,20181023,1362,27
Joe Amabile,Joe Amabile,20181024,372,27
Joe Amabile,Joe Amabile,20181025,289,27
Joe Amabile,Joe Amabile,20181026,200,27
Joe Amabile,Joe Amabile,20181027,177,27
Joe Amabile,Joe Amabile,20181028,176,27
Joe Amabile,Joe Amabile,20181029,283,27
Joe Amabile,Joe Amabile,20181030,1296,27
Joe Amabile,Joe Amabile,20181031,370,27
Joe Amabile,Joe Amabile,20181101,193,27
